"Class","Order","Family","Subfamily",Available,Valid,Last Ten Years (2006-2015)
 , ,Comephoridae,,2,2,0
 , ,Abyssocottidae,,29,24,0
 , ,Hemitripteridae,,22,8,0
 , ,Psychrolutidae,,55,38,2
 , ,Agonidae,,88,46,0
 , , ,Agoninae,34,15,0
 , , ,Anoplagoninae,10,4,0
 , , ,Bathyagoninae,9,9,0
 , , ,Brachyopsinae,18,9,0
 , , ,Hypsagoninae,15,7,0
 , , ,Bothragoninae,2,2,0
 , ,Cyclopteridae,,50,29,2
 , ,Liparidae,,481,424,74
 ,Perciformes,,,,,
 , ,Centropomidae,,33,12,0
 , ,Ambassidae,,102,50,4
 , ,Percichthyidae,,96,37,2
 , ,Perciliidae,,3,2,0
 , ,Howellidae,,9,9,0
 , ,Lateolabracidae,,6,3,0
 , ,Latidae,,27,13,2
 , ,Acropomatidae,,38,32,1
 , ,Moronidae,,34,6,0
 , ,Polyprionidae,,18,4,0
 , ,Dinopercidae,,4,2,0
 , ,Serranidae,,1120,547,40
 , , ,Serraninae,166,88,9
 , , ,Anthiadinae,297,219,25
 , , ,Epinephelinae,575,203,4
 , , ,Liopropomatinae,0,0,0
 , , ,Grammistinae,67,35,2
 , ,Ostracoberycidae,,4,3,0
 , ,Symphysanodontidae,,15,12,3
 , ,Centrogenyidae,,3,1,0
 , ,Pseudochromidae,,191,152,16
 , , ,Pseudochrominae,126,96,15
 , , ,Pseudoplesiopinae,28,27,1
 , , ,Anisochrominae,3,3,0
 , , ,Congrogadinae,32,24,0
 , , ,Assiculinae,1,1,0
 , , ,Assiculoidinae,1,1,0
 , ,Grammatidae,,14,13,1
 , ,Callanthiidae,,17,14,1
 , ,Plesiopidae,,72,50,1
 , , ,Plesiopinae,48,34,0
 , , ,Acanthoclininae,24,16,1
 , ,Opistognathidae,,105,83,14
 , ,Terapontidae,,115,53,0
 , ,Banjosidae,,2,1,0
 , ,Kuhliidae,,37,12,0
 , ,Centrarchidae,,153,38,4
 , ,Percidae,,376,235,27
 , , ,Percinae,36,11,2
 , , ,Luciopercinae,25,10,0
 , , ,Etheostomatinae,311,214,25
 , ,Priacanthidae,,50,19,0
 , ,Apogonidae,,512,356,32
 , , ,Apogoninae,487,333,31
 , , ,Pseudamiinae,21,20,1
 , , ,Amioidinae,3,2,0
 , , ,Paxtoninae,1,1,0
 , ,Epigonidae,,50,43,11
 , ,Dinolestidae,,4,1,0
 , ,Sillaginidae,,46,34,3
 , ,Malacanthidae,,68,45,4
 , , ,Malacanthinae,28,16,2
 , , ,Latilinae,40,29,2
 , ,Lactariidae,,3,1,0
 , ,Scombropidae,,5,3,0
 , ,Pomatomidae,,13,1,0
 , ,Rachycentridae,,14,1,0
 , ,Echeneidae,,68,8,0
 , ,Carangidae,,665,151,3
 , ,Nematistiidae,,2,1,0
 , ,Coryphaenidae,,46,2,0
 , ,Menidae,,2,1,0
 , ,Leiognathidae,,97,50,8
 , , ,Leiognathinae,28,13,1
 , , ,Gazzinae,65,37,7
 , ,Bramidae,,51,20,0
 , ,Caristiidae,,20,19,14
 , ,Arripidae,,9,4,0
 , ,Emmelichthyidae,,19,18,1
 , ,Lutjanidae,,374,109,4
 , ,Caesionidae,,41,23,3
